Time,"Idle","Exceptions","Event Recorder"
2.535350,,,0xf010,
2.535440,,,0xf00b,
2.535751,,,0xf00b,
2.545350,,,0xf010,
2.545440,,,0xf00b,
2.545751,,,0xf00b,
2.555350,,,0xf010,
2.555440,,,0xf00b,
2.555751,,,0xf00b,
2.565350,,,0xf010,
2.565440,,,0xf00b,
2.565751,,,0xf00b,
2.575350,,,0xf010,
2.575440,,,0xf00b,
2.575751,,,0xf00b,
2.585350,,,0xf010,
2.585440,,,0xf00b,
2.585751,,,0xf00b,
2.595350,,,0xf010,
2.595440,,,0xf00b,
2.595751,,,0xf00b,
2.605350,,,0xf010,
2.605440,,,0xf00b,
2.605751,,,0xf00b,
2.615350,,,0xf010,
2.615440,,,0xf00b,
2.615751,,,0xf00b,
2.625350,,,0xf010,
2.625440,,,0xf00b,
2.625751,,,0xf00b,
2.635350,,,0xf010,
2.635440,,,0xf00b,
2.635751,,,0xf00b,
2.645350,,,0xf010,
2.645440,,,0xf00b,
2.645751,,,0xf00b,
2.655350,,,0xf010,
2.655440,,,0xf00b,
2.655751,,,0xf00b,
2.665350,,,0xf010,
2.665440,,,0xf00b,
2.665751,,,0xf00b,
2.675350,,,0xf010,
2.675440,,,0xf00b,
2.675751,,,0xf00b,
2.685350,,,0xf010,
2.685440,,,0xf00b,
2.685751,,,0xf00b,
2.695350,,,0xf010,
2.695440,,,0xf00b,
2.695751,,,0xf00b,
2.705350,,,0xf010,
2.705440,,,0xf00b,
2.705751,,,0xf00b,
2.715350,,,0xf010,
2.715440,,,0xf00b,
2.715751,,,0xf00b,
2.725350,,,0xf010,
2.725440,,,0xf00b,
2.725751,,,0xf00b,
2.735350,,,0xf010,
2.735440,,,0xf00b,
2.735751,,,0xf00b,
2.745350,,,0xf010,
2.745440,,,0xf00b,
2.745751,,,0xf00b,
2.755351,,,0xf010,
2.755441,,,0xf00b,
2.755753,,,0xf00b,
2.765351,,,0xf010,
2.765441,,,0xf00b,
2.765753,,,0xf00b,
2.775351,,,0xf010,
2.775441,,,0xf00b,
2.775753,,,0xf00b,
2.785351,,,0xf010,
